,quadragram,PMI
405,"('he', 'be', 'still', 'smiling')",20.054114229989086
406,"('I', 'kept', 'my', 'eyes')",20.050725024175918
407,"('I', 'couldn', '’t', 'stop')",20.037057714817173
408,"('there', '’', 'a', 'lot')",20.033563799691958
409,"('a', 'b', '0', '+')",20.0311604394186
410,"('that', 'generate', 'a', 'iterative')",20.01498342758975
411,"('I', ""'"", 'll', 'never')",20.014374259100457
412,"('the', 'brick', 'wall', 'be')",20.01009488528942
413,"('of', 'step', 'require', 'by')",19.99879107054507
414,"('do', 'not', 'you', 'cry')",19.99733608053662
415,"('pay', 'attention', 'to', 'the')",19.95904452879484
416,"('square', 'root', 'of', '1')",19.95047643887817
417,"(""'"", 'll', 'want', 'to')",19.945675989472136
418,"('i', 'in', 'death', '')",19.92533850126334
419,"('blackened', 'be', 'the', 'end')",19.922222129264085
420,"('way', 'to', 'make', 'change')",19.897249477941713
421,"('“What', 'do', 'you', 'want')",19.89270253934602
422,"('you', 'you', 'say', 'hello')",19.889370723699393
423,"('and', 'man', 'and', 'woman')",19.878179432823995
424,"('a', 'bed', 'of', 'lie')",19.86714052870048
425,"('', 'can', 'not', 'help')",19.865223604069563
426,"('it', 'generate', 'a', 'iterative')",19.84224042561807
427,"('have', 'order', 'of', 'growth')",19.80150791398638
428,"('independent', 'of', 'the', 'particular')",19.773577319425023
429,"('in', 'a', 'straightforward', 'way')",19.721610392708733
430,"('I', ""'"", 'll', 'find')",19.720191154695996
431,"('watch', 'and', 'wait', 'for')",19.699955322113436
432,"('square', 'a', 'y', 'b')",19.683158832921336
433,"('arm', 'give', 'up', 'the')",19.673127251518395
434,"('y', 'b', 'a', 'b')",19.651215940418588
435,"('process', 'write', 'one', 'that')",19.64609248194322
436,"('check', 'to', 'see', 'if')",19.60388496550471
437,"('>', 'a', 'b', '0')",19.570798949630266
438,"('world', 'with', 'love', 'you')",19.563033381691497
439,"('the', 'formal', 'parameter', 'of')",19.562073214231305
440,"('want', 'to', 'go', 'home')",19.559426913617912
441,"('why', 'don', '’t', 'you')",19.53766013402018
442,"('close', 'my', 'eye', 'and')",19.535814829959833
443,"('n', 'pass', 'the', 'test')",19.52208867298147
444,"('you', 'feel', 'when', 'there')",19.450200406492314
445,"('how', 'do', 'you', 'feel')",19.420535723399816
446,"('x', 'x', 'x', 'define')",19.359599478235133
447,"('', 'can', 'not', 'find')",19.348648078328658
448,"('I', 'close', 'my', 'eye')",19.348142424035373
449,"('the', 'scheme', 'dialect', 'of')",19.313685584361913
450,"('it', 'be', 'worse', 'because')",19.30960209949074
451,"('up', 'the', 'fight', 'one')",19.30050719353612
452,"('5', '1', 'and', '5')",19.269160254571524
453,"('you', 'make', 'it', 'easy')",19.265750714991704
454,"('I', 'didn', '’t', 'feel')",19.26176400199187
455,"('that', 'generate', 'a', 'recursive')",19.218075292967264
456,"('change', 'my', 'mind', 'I')",19.211612543002254
457,"('no', 'place', 'to', 'go')",19.194649401398017
458,"('song', 'in', 'the', 'world')",19.154195506525333
459,"('as', 'far', 'from', 'i')",19.152739160596923
460,"('far', 'from', 'i', 'as')",19.152739160596923
461,"('take', 'the', 'legend', 'for')",19.151240498932374
462,"('it', 'easy', 'to', 'watch')",19.148978434815277
463,"('I', 'try', 'to', 'concentrate')",19.138729132712086
464,"('I', 'try', 'to', 'convince')",19.138729132712086
465,"('', 'do', 'not', 'know')",19.12038158429273
466,"(""'s"", 'out', 'of', 'control')",19.09617877387757
467,"('x', 'x', 'x', 'x')",19.093627789321786
468,"('', 'do', 'not', 'feel')",19.087591649175053
469,"('I', 'don', '’t', 'know')",19.082866411275965
470,"('be', 'my', 'child', 'why')",19.082603520920806
471,"('be', 'in', 'ruin', 'one')",19.072913937117825
472,"('out', 'into', 'the', 'rain')",19.070039934553854
473,"('there', ""'s"", 'no', 'one')",19.014375724691156
474,"('a', 'logarithmic', 'number', 'of')",18.978501637648186
475,"('do', 'you', 'feel', 'when')",18.97837688112189
476,"('a', 'iterative', 'process', 'if')",18.93781556706729
